time,avg_grain_vol,dt,grain_tracker
1073479665,623805.86809479,7864320,10
1081343985,623805.409974,7864320,10
1089208305,623795.24906276,7864320,10
1097072625,623812.1731057,7864320,10
1104936945,623805.62922089,7864320,10
1112801265,623816.43720906,7864320,10
1120665585,623811.82273468,7864320,10
1128529905,623812.3316759,7864320,10
1136394225,623821.91825927,7864320,10
1144258545,623827.83023321,7864320,10
1152122865,623817.10084103,7864320,10
1159987185,623822.57395703,7864320,10
1167851505,623834.37436377,7864320,10
1175715825,623818.49922106,7864320,10
1183580145,623821.87037436,7864320,10
1191444465,623816.92698016,7864320,10
1199308785,623823.93434885,7864320,10
1207173105,623834.85469088,7864320,10
1215037425,623835.77397411,7864320,10
1222901745,623827.90820963,7864320,10
1230766065,623844.9809329,7864320,10
1238630385,623837.07063155,7864320,10
1246494705,623845.33785037,7864320,10
1254359025,623836.60265792,7864320,10
1262223345,623839.1968047,7864320,10
1270087665,623838.62084685,7864320,10
1277951985,623835.15204517,7864320,10
1285816305,623834.80388934,7864320,10
1293680625,623840.5319799,7864320,10
1301544945,623846.46860845,7864320,10
1309409265,623851.34544594,7864320,10
1317273585,623847.04377412,7864320,10
1325137905,623853.32510394,7864320,10
1333002225,623868.73060432,7864320,10
1340866545,623863.02224371,7864320,10
1348730865,623872.30723707,7864320,10
1356595185,623861.24792491,7864320,10
1364459505,623853.14115078,7864320,10
1372323825,623863.05931228,7864320,10
1376255985,623865.8151842,3932160,10
1384120305,623866.08800732,7864320,10
1388052465,623869.48024597,3932160,10
1395916785,623876.94436574,7864320,10
1399848945,623875.15246137,3932160,10
1407713265,623868.79360909,7864320,10
1411645425,623875.76014189,3932160,10
1419509745,623882.35768334,7864320,10
1423441905,623879.75352691,3932160,10
1431306225,623885.83916526,7864320,10
1435238385,623879.46923133,3932160,10
1443102705,623896.3314623,7864320,10
1447034865,623892.44783938,3932160,10
1450967025,623893.96995376,3932160,10
1452933105,623900.16814129,1966080,10
1454899185,623904.90264951,1966080,10
1456865265,623904.87722351,1966080,10
1458831345,623903.42698656,1966080,10
1460797425,693221.69349122,1966080,9
1464729585,693222.34687879,3932160,9
1472593905,693227.5714735,7864320,9
1476526065,693230.10772444,3932160,9
1480458225,693234.72857996,3932160,9
1484390385,693239.38350657,3932160,9
1488322545,693235.96311626,3932160,9
1492254705,693238.62475786,3932160,9
1496186865,693244.58192107,3932160,9
1500119025,693251.56912747,3932160,9
1501102065,693254.02732511,983040,9
1502085105,693253.50764074,983040,9
1504051185,693243.85962808,1966080,9
1506017265,779897.39126635,1966080,8
1509949425,779903.11842807,3932160,8
1517813745,779905.73633182,7864320,8
1521745905,779914.19698399,3932160,8
1529610225,779920.56811658,7864320,8
1533542385,779936.36024926,3932160,8
1541406705,779927.38491641,7864320,8
1549271025,779914.99944445,7864320,8
1557135345,779915.65690001,7864320,8
1564999665,779916.14031215,7864320,8
1572863985,779913.41709943,7864320,8
1580728305,779914.66967157,7864320,8
1588592625,779925.06113159,7864320,8
1596456945,779921.00662577,7864320,8
1604321265,779934.70029938,7864320,8
1612185585,779934.53113805,7864320,8
1620049905,779928.63331037,7864320,8
1627914225,779945.33939857,7864320,8
1635778545,779935.05639154,7864320,8
1643642865,779942.72147296,7864320,8
1651507185,779945.35962935,7864320,8
1659371505,779941.82172891,7864320,8
1667235825,779924.7377055,7864320,8
1675100145,779945.32622408,7864320,8
1682964465,779938.97909855,7864320,8
1686896625,779942.86972209,3932160,8
1694760945,779943.05081743,7864320,8
1698693105,779944.94491236,3932160,8
1706557425,779950.3950595,7864320,8
1710489585,779961.2986241,3932160,8
1718353905,779963.47970142,7864320,8
1722286065,779960.98858533,3932160,8
1730150385,779965.19148854,7864320,8
1734082545,779969.01756098,3932160,8
1741946865,779968.15627821,7864320,8
1745879025,779979.03508439,3932160,8
1753743345,779956.42378623,7864320,8
1757675505,779967.17642574,3932160,8
1765539825,779973.92538162,7864320,8
1769471985,779975.99870321,3932160,8
1773404145,779970.70919433,3932160,8
1777336305,779965.71120517,3932160,8
1781268465,779965.55997396,3932160,8
1785200625,779975.27872209,3932160,8
1789132785,779973.98614668,3932160,8
1793064945,779974.36353997,3932160,8
1795031025,779978.99539771,1966080,8
1796997105,779971.1656165,1966080,8
1797980145,779977.56940175,983040,8
1798963185,779985.63910012,983040,8
1800929265,891411.56126841,1966080,7
1804861425,891404.34979135,3932160,7
1812725745,891430.88868019,7864320,7
1816657905,891413.10796499,3932160,7
1824522225,891410.71050742,7864320,7
1832386545,891422.54551314,7864320,7
1840250865,891425.22680044,7864320,7
1848115185,891432.75727021,7864320,7
1855979505,891444.54651518,7864320,7
1863843825,891435.98488698,7864320,7
1871708145,891438.62404912,7864320,7
1879572465,891439.77149569,7864320,7
1887436785,891430.63123672,7864320,7
1895301105,891440.64975768,7864320,7
1903165425,891433.04810327,7864320,7
1911029745,891429.78716833,7864320,7
1918894065,891431.42843503,7864320,7
1926758385,891434.80786708,7864320,7
1934622705,891437.82184379,7864320,7
1942487025,891442.91454677,7864320,7
1950351345,891438.18854571,7864320,7
1958215665,891441.61156955,7864320,7
1966079985,891443.32992791,7864320,7
1973944305,891447.46914766,7864320,7
1981808625,891447.80297002,7864320,7
1985740785,891447.9984613,3932160,7
1993605105,891440.0826042,7864320,7
1997537265,891448.42194151,3932160,7
2005401585,891460.81314304,7864320,7
2009333745,891451.02876774,3932160,7
2017198065,891449.07812687,7864320,7
2021130225,891451.99727775,3932160,7
2028994545,891470.28522534,7864320,7
2032926705,891472.36210714,3932160,7
2040791025,891475.17656226,7864320,7
2044723185,891483.23528763,3932160,7
2052587505,891482.5895061,7864320,7
2056519665,891474.67002061,3932160,7
2064383985,891481.05960963,7864320,7
2068316145,891482.85154324,3932160,7
2072248305,891483.62350506,3932160,7
2076180465,891479.48082307,3932160,7
2080112625,891474.97943415,3932160,7
2084044785,891475.78110554,3932160,7
2087976945,891471.49900926,3932160,7
2089943025,891469.40566164,1966080,7
2091909105,891472.72886699,1966080,7
2093875185,891468.60433416,1966080,7
2094858225,1040043.0435189,983040,6
2096824305,1040053.8696216,1966080,6
2100756465,1040041.9407499,3932160,6
2108620785,1040049.3162997,7864320,6
2112552945,1040056.1913801,3932160,6
2120417265,1040075.6888226,7864320,6
2124349425,1040067.6204381,3932160,6
2132213745,1040058.3845193,7864320,6
2140078065,1040057.2522366,7864320,6
2147942385,1040062.0663924,7864320,6
2155806705,1040078.8944648,7864320,6
2163671025,1040077.9754455,7864320,6
2171535345,1040092.5134524,7864320,6
2179399665,1040087.3522147,7864320,6
2187263985,1040102.374147,7864320,6
2195128305,1040090.2944188,7864320,6
2202992625,1040089.3996666,7864320,6
2210856945,1040081.0914897,7864320,6
2218721265,1040081.3322347,7864320,6
2226585585,1040076.5557618,7864320,6
2234449905,1040079.9930895,7864320,6
2242314225,1040077.3853514,7864320,6
2250178545,1040080.4054384,7864320,6
2258042865,1040081.3274837,7864320,6
2265907185,1040086.8471479,7864320,6
2273771505,1040084.6197574,7864320,6
2281635825,1040101.8634651,7864320,6
2289500145,1040091.399978,7864320,6
2297364465,1040110.9000689,7864320,6
2305228785,1040105.2153732,7864320,6
2313093105,1040103.1651051,7864320,6
2320957425,1040120.048095,7864320,6
2328821745,1040112.8227153,7864320,6
2336686065,1040110.4081857,7864320,6
2344550385,1040098.0055548,7864320,6
2352414705,1040098.0304149,7864320,6
2360279025,1040095.5663735,7864320,6
2368143345,1040094.7865187,7864320,6
2376007665,1040098.2545382,7864320,6
2383871985,1040094.7526985,7864320,6
2391736305,1040085.8392468,7864320,6
2399600625,1040101.2172242,7864320,6
2407464945,1040107.6883603,7864320,6
2415329265,1040109.4393463,7864320,6
2423193585,1040114.5128524,7864320,6
2431057905,1040108.1990844,7864320,6
2438922225,1040122.3230008,7864320,6
2446786545,1040112.6953384,7864320,6
2454650865,1040118.6611297,7864320,6
2462515185,1040108.9764334,7864320,6
2470379505,1040105.4965487,7864320,6
2478243825,1040119.26611,7864320,6
2486108145,1040125.3259221,7864320,6
2493972465,1040116.3641077,7864320,6
2501836785,1040123.9776501,7864320,6
2509701105,1040132.1356181,7864320,6
2517565425,1040137.0405269,7864320,6
2525429745,1040137.1539099,7864320,6
2533294065,1040157.6072762,7864320,6
2541158385,1040152.2282433,7864320,6
2549022705,1040141.3326428,7864320,6
2556887025,1040149.671654,7864320,6
2564751345,1040156.4367018,7864320,6
2572615665,1040165.2320558,7864320,6
2576547825,1040141.4040042,3932160,6
2584412145,1040149.7854523,7864320,6
2588344305,1040147.5629732,3932160,6
2596208625,1040145.221131,7864320,6
2600140785,1040145.3364221,3932160,6
2608005105,1040147.7513904,7864320,6
2611937265,1040158.135221,3932160,6
2619801585,1040153.8161634,7864320,6
2623733745,1040155.1150795,3932160,6
2631598065,1040166.208968,7864320,6
2635530225,1040161.5087794,3932160,6
2643394545,1040170.5205038,7864320,6
2647326705,1040166.3820533,3932160,6
2655191025,1040155.9614584,7864320,6
2659123185,1040166.8340454,3932160,6
2666987505,1040162.6463521,7864320,6
2670919665,1040169.0432718,3932160,6
2674851825,1040155.1661775,3932160,6
2678783985,1040156.9679609,3932160,6
