time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
33150,75,4606658.2714425,3749978.6251328,8669684.9789655,8025759.0951391,0,0
33225,75,4606600.1632732,3749734.5376497,8669723.6370806,8025991.8075253,0,0
33300,75,4606522.9797767,3749387.5277635,8669863.0018425,8026258.9687525,0,0
33375,75,4606440.3892318,3748987.4032367,8670046.415103,8026565.6592784,0,0
33450,75,4606362.3607626,3748571.6204337,8670237.6573828,8026896.7287468,0,0
33525,75,4606290.0462077,3748157.7659649,8670429.4961418,8027236.1683355,0,0
33600,75,4606218.2944602,3747739.4768296,8670641.2179001,8027571.2110214,0,0
33675,75,4606147.8586822,3747268.146243,8670921.5917814,8027896.3383581,0,0
33750,75,4606091.3101607,3746728.4271824,8671273.8706248,8028210.2926709,0,0
33825,75,4606062.4011404,3746134.6742939,8671673.7804267,8028512.983285,0,0
33900,75,4606066.8126431,3745519.1810912,8672083.8935192,8028804.8385016,0,0
33975,75,4606098.4588243,3744933.4637638,8672448.4494585,8029082.9554441,0,0
34050,75,4606143.289994,3744406.735768,8672744.7966793,8029344.0066589,0,0
34125,75,4606190.7062303,3743922.4976127,8672999.708108,8029584.0608318,0,0
34200,75,4606235.4471655,3743442.1573983,8673255.9533187,8029799.3722602,0,0
34275,75,4606271.6209056,3742960.0915815,8673524.3692514,8029992.3205799,0,0
34350,75,4606291.4724851,3742485.9264975,8673803.5787014,8030168.6344276,0,0
34425,75,4606291.3958817,3742008.8389956,8674107.3664601,8030330.5300275,0,0
34462.5,37.5,4606284.1456069,3741770.0648098,8674260.3069782,8030407.5751072,0,0
34500,37.5,4606273.3130847,3741497.1932582,8674432.4369474,8030484.2855242,0,0
34537.5,37.5,4606260.4820507,3741216.1221591,8674610.3421328,8030562.6235448,0,0
34612.5,75,4606231.9221313,3740706.7144906,8674939.6989971,8030723.8114951,0,0
34687.5,75,4606202.8868489,3740266.318113,8675240.0020997,8030879.4489415,0,0
34762.5,75,4606179.9693852,3739843.5349933,8675546.5620028,8031020.4510215,0,0
34837.5,75,4606173.3323045,3739437.7270315,8675837.8199559,8031152.8716858,0,0
34912.5,75,4606195.524149,3739108.4527948,8676023.4351523,8031287.2572132,0,0
34950,37.5,4606220.2259417,3738970.7599792,8676074.8464163,8031357.0145393,0,0
35025,75,4606308.8398011,3738691.9045476,8676145.5724912,8031501.7800678,0,0
35100,75,4606449.236879,3738375.574094,8676208.3073115,8031649.2613181,0,0
35137.5,37.5,4606533.4834007,3738197.3027501,8676245.200266,8031722.6931202,0,0
35175,37.5,4606621.2949988,3738011.0087844,8676285.3425334,8031793.9851764,0,0
35212.5,37.5,4606710.9405596,3737837.2944414,8676295.8224391,8031860.2335536,0,0
35250,37.5,4606781.4536706,3737688.1563144,8676288.4912958,8031920.9865366,0,0
35287.5,37.5,4606836.1988426,3737560.3253217,8676287.3509933,8031975.4374793,0,0
35362.5,75,4606905.3249287,3737308.8658473,8676384.0383359,8032059.8448068,0,0
35437.5,75,4606846.6355582,3737020.3190401,8676727.2668529,8032096.2657088,0,0
35512.5,75,4606684.7217594,3736683.5244052,8677270.8952541,8032086.8443059,0,0
35587.5,75,4606431.6707959,3736309.6780805,8677953.2074156,8032066.1718505,0,0
35625,37.5,4606240.4439762,3736112.1348929,8678370.0645209,8032054.3211099,0,0
35662.5,37.5,4606000.7509575,3735911.1531017,8678833.1233299,8032040.7869713,0,0
35700,37.5,4605751.4202514,3735707.436847,8679303.4417134,8032030.07039,0,0
35775,75,4605320.8973871,3735293.4445106,8680151.7637904,8032024.5616162,0,0
35850,75,4605021.4631305,3734906.3340792,8680795.3404561,8032048.9595896,0,0
35925,75,4604826.6701117,3734532.0476847,8681262.0027333,8032134.9457476,0,0
36000,75,4604693.1979348,3734121.2604159,8681619.8437985,8032321.5164907,0,0
36075,75,4604595.252552,3733642.1419568,8681920.5504964,8032612.0730478,0,0
36150,75,4604527.8414965,3733099.6503082,8682198.217132,8032967.1179211,0,0
36225,75,4604498.6116996,3732524.5501472,8682478.1038517,8033320.9467597,0,0
36300,75,4604519.446046,3731941.1179984,8682788.9498876,8033611.6283671,0,0
36375,75,4604594.9630547,3731349.8330553,8683163.5029835,8033801.7351926,0,0
36412.5,37.5,4604654.7599831,3731045.1639702,8683374.5662623,8033855.1779019,0,0
36450,37.5,4604720.137998,3730742.7179549,8683588.6777942,8033879.7247072,0,0
36487.5,37.5,4604769.101718,3730461.3103862,8683825.7548449,8033875.6341095,0,0
36525,37.5,4604795.4172073,3730227.1992217,8684063.0360261,8033843.7372948,0,0
36562.5,37.5,4604820.0579458,3730042.0295986,8684287.7205973,8033785.1550631,0,0
36600,37.5,4604831.372686,3729898.3235935,8684515.9881255,8033704.5591708,0,0
36637.5,37.5,4604858.5947664,3729791.9348631,8684717.6167872,8033608.9187772,0,0
36675,37.5,4604918.1412578,3729712.829608,8684872.7520082,8033506.6751844,0,0
36712.5,37.5,4604995.9391174,3729646.943052,8684995.7772082,8033408.6740893,0,0
36750,37.5,4605092.9870654,3729590.9430325,8685080.7972031,8033319.917452,0,0
36787.5,37.5,4605191.9517673,3729546.0502526,8685118.8506657,8033241.1095824,0,0
36806.25,18.75,4605240.3143299,3729529.5915223,8685121.0670291,8033204.4157636,0,0
36843.75,37.5,4605354.4568245,3729514.3437416,8685095.2267673,8033132.4936584,0,0
36881.25,37.5,4605508.6749935,3729519.9647297,8685015.1447737,8033064.9522519,0,0
36918.75,37.5,4605675.8998677,3729538.8705439,8684904.2661973,8033006.2733951,0,0
36956.25,37.5,4605829.9261409,3729566.1921029,8684786.7094084,8032958.8163858,0,0
37031.25,75,4606097.8578797,3729644.8148523,8684515.5085414,8032897.1172021,0,0
37106.25,75,4606318.2927071,3729751.7511207,8684207.3633701,8032872.3253635,0,0
37181.25,75,4606484.1970145,3729854.5223273,8683923.5903673,8032876.1138664,0,0
37256.25,75,4606619.935413,3729925.8195929,8683677.8953608,8032904.7887378,0,0
37331.25,75,4606753.3422873,3729953.3016753,8683459.9655122,8032954.2758424,0,0
37406.25,75,4606893.161144,3729933.1812019,8683272.6549891,8033018.7832071,0,0
37481.25,75,4607026.3932073,3729855.8424041,8683145.908324,8033093.0830116,0,0
37556.25,75,4607140.2311251,3729704.1951382,8683110.5477687,8033175.8366391,0,0
37631.25,75,4607238.1087217,3729465.1641586,8683174.5347708,8033266.9235763,0,0
37706.25,75,4607332.1826837,3729146.0455945,8683319.3226849,8033364.935121,0,0
37781.25,75,4607426.1614231,3728776.6373267,8683513.7728217,8033468.0470317,0,0
37856.25,75,4607512.9529516,3728395.6819273,8683727.0841576,8033575.0047772,0,0
37931.25,75,4607584.0395169,3728033.1961693,8683938.2338032,8033683.043104,0,0
38006.25,75,4607635.1670036,3727701.8918328,8684142.5570917,8033785.7357121,0,0
38081.25,75,4607665.6805878,3727404.2252865,8684346.0560721,8033876.0114468,0,0
38156.25,75,4607678.675345,3727107.8554825,8684584.6518254,8033953.3807896,0,0
38231.25,75,4607682.3418194,3726696.1566697,8684957.2358322,8034032.9913443,0,0
38268.75,37.5,4607683.299193,3726425.6383324,8685208.939344,8034077.0650063,0,0
38306.25,37.5,4607685.8764436,3726108.776933,8685506.0080535,8034122.7218209,0,0
38381.25,75,4607699.2090393,3725473.4940877,8686113.7112768,8034175.8208337,0,0
38456.25,75,4607719.1949018,3724980.8553658,8686621.7360889,8034138.3534293,0,0
38531.25,75,4607740.0126655,3724670.2052714,8687011.8862043,8033999.139184,0,0
38606.25,75,4607757.8291749,3724525.4657764,8687282.1458826,8033810.211605,0,0
38681.25,75,4607772.27488,3724512.631619,8687423.3619864,8033642.2872303,0,0
38756.25,75,4607782.8158981,3724595.907243,8687432.9388674,8033540.5382519,0,0
38831.25,75,4607786.0627956,3724748.8898859,8687319.6693688,8033516.4064048,0,0
38906.25,75,4607778.0364655,3724960.3186594,8687093.4380057,8033561.9651332,0,0
38981.25,75,4607757.4653884,3725218.6855919,8686768.1850615,8033661.4058554,0,0
39056.25,75,4607727.7305365,3725542.9503809,8686329.0107929,8033809.0553664,0,0
39131.25,75,4607693.2009111,3725946.0704762,8685778.6302391,8034006.9250181,0,0
39206.25,75,4607656.857871,3726349.4534918,8685212.9764816,8034249.4911146,0,0
39281.25,75,4607619.0749856,3726678.7214004,8684708.0016805,8034519.9746362,0,0
39356.25,75,4607578.2281305,3726927.3701599,8684272.9343063,8034794.304762,0,0
