time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
66825,1200,6429140.6033683,5962012.5152747,6453774.4545179,6170735.3261052,0,0
69225,2400,6500836.3635573,6033792.2998558,6380445.643864,6100587.0924732,0,0
71625,2400,6572353.4953497,6105378.4534438,6307329.1812233,6030595.8404435,0,0
72825,1200,6608258.4327862,6141303.4651904,6270633.8632275,5995458.358113,0,0
75225,2400,6679959.4597386,6213044.1459354,6197383.6314672,5925259.2465591,0,0
77625,2400,6751471.8395604,6284611.944243,6124362.0553172,5855192.6894044,0,0
78825,1200,6787368.975411,6320533.6528874,6087723.5334625,5820008.0493829,0,0
81225,2400,6859075.1075469,6392287.7390683,6014594.3037192,5749667.0560244,0,0
83625,2400,6930633.1837222,6463895.1917953,5941703.5614762,5679384.9248459,0,0
84825,1200,6966561.6136569,6499847.6566353,5905135.8410502,5644068.9358885,0,0
87225,2400,7038376.9942994,6571730.6416751,5832154.0334407,5573350.1311429,0,0
89625,2400,7110167.6293409,6643598.6675138,5759437.809008,5502416.0431408,0,0
92025,2400,7182156.5489071,6715660.3826854,5686822.6686702,5431010.2853284,0,0
94425,2400,7254543.9737417,6788111.7395434,5614128.5138993,5358942.4545192,0,0
96825,2400,7327686.1792735,6861316.3870976,5541035.2385603,5285873.9225972,0,0
99225,2400,7403823.4606146,6937535.2869565,5465458.8652845,5209636.7335447,0,0
100425,1200,7448878.6453558,6982635.8145322,5420822.5972231,5164378.2143736,0,0
101025,600,7472941.1348858,7006720.9037971,5396736.6218104,5140006.2979296,0,0
102225,1200,7521306.4145365,7055132.8474365,5348366.2424196,5091184.2433425,0,0
103425,1200,7569647.4350651,7103520.7737687,5300164.1048999,5042586.8482276,0,0
104625,1200,7618031.4678337,7151948.6643742,5251955.611372,4993992.0207592,0,0
105825,1200,7666445.1073298,7200401.6910836,5203713.8629194,4945372.7311278,0,0
107025,1200,7714871.3096977,7248865.5743421,5155450.5234117,4896746.9242402,0,0
108225,1200,7763302.346987,7297335.19357,5107177.6321955,4848119.1422394,0,0
109425,1200,7811736.0156236,7345805.0242719,5058906.4613351,4799485.9395738,0,0
110625,1200,7860170.6818195,7394272.0689372,5010643.491047,4750845.0872685,0,0
111825,1200,7908605.2834535,7442737.630811,4962389.4910636,4702196.4777227,0,0
113025,1200,7957040.8506578,7491205.2114868,4914143.3201794,4653537.5069965,0,0
114225,1200,8005478.9476456,7539675.4757687,4865902.1888463,4604868.3271843,0,0
115425,1200,8053920.9591531,7588150.7404733,4817660.0230937,4556191.1049606,0,0
116625,1200,8102367.5014166,7636635.3777252,4769414.0692545,4507504.1444416,0,0
117825,1200,8150821.0853394,7685130.8753271,4721163.8337858,4458803.8837089,0,0
119025,1200,8199282.9880082,7733637.7545405,4672906.6823279,4410090.3652244,0,0
120225,1200,8247754.423422,7782156.46767,4624636.5344455,4361367.9290232,0,0
121425,1200,8296236.2885367,7830688.6315746,4576348.9761351,4312639.2468846,0,0
122625,1200,8344730.9978352,7879234.2197295,4528039.6338861,4263906.443987,0,0
123825,1200,8393240.5572602,7927790.0099075,4479704.7893181,4215173.8514687,0,0
