time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
185250,1200,7212492.2101541,294728.09458665,5260711.2324251,198826.82213384,6547589.0080887,5502751.5503593
186450,1200,7245581.5541533,245477.09212847,5277417.8287128,148752.84190288,6580708.9546993,5519201.2624698
187050,600,7262489.1642112,220432.93749438,5285940.697676,123110.13095982,6597626.6603319,5527552.4763898
188250,1200,7297136.6460609,170445.40289379,5303643.7655426,69923.686304964,6631900.8889764,5544249.9900433
188850,600,7315964.3725379,145024.11838784,5313553.3910166,40164.773541647,6650155.2449931,5552728.6515463
189450,600,7336044.9684953,119288.59619876,5323868.8920224,8609.5898711442,6668537.7597488,5561303.5051065
189750,300,7342193.7800237,106211.7288493,5325468.1997447,1653.5772048801,6674449.4382648,5565652.179092
190350,600,7351137.1181177,79794.493666029,5325714.643624,-880.83579703593,6683646.180416,5574449.3677003
190950,600,7360082.7565255,52271.895666633,5325574.4677989,-368.72290938253,6692929.5948431,5583658.0178421
191550,600,7371853.8060584,14176.114960319,5325503.6118244,-43.089231038202,6707370.7216251,5596768.3480381
191850,300,7374397.4021534,3380.6536069064,5325478.5850531,-0.94637858842566,6710631.1240457,5599670.7003297
192150,300,7374866.4181736,-35.703397786313,5325453.5527557,4.5965151227597,6711205.5186002,5600193.626765
192750,600,7374868.3319734,-636.49686810445,5325403.2227329,2.1025242460137,6711140.0948933,5600144.5881779
193950,1200,7374883.5138532,-147.9645588397,5325303.3232961,0.020143689060385,6711148.4761117,5600037.7475643
196350,2400,7375110.5321891,15.816184404998,5325094.0731741,-0.11213101244379,6711319.7686601,5599839.4468578
198750,2400,7375395.195623,4.2408696784298,5324880.8265841,-0.0097463594701037,6711486.9936678,5599605.8930473
201150,2400,7375666.9891516,0.038145553354016,5324671.2274927,0.0014395651175231,6711663.4307377,5599368.4257844
203550,2400,7375921.5721182,-0.079469893304952,5324467.4664205,0.00031275030826624,6711844.6015835,5599136.8075624
205950,2400,7376161.757276,-0.0072567804517876,5324272.1862139,-2.7306770635315e-06,6712023.9036671,5598912.7976779
208350,2400,7376390.8234628,0.00095024511139452,5324085.2869274,-6.4198887477773e-06,6712199.6577566,5598695.0113405
210750,2400,7376611.9247715,0.00021999336288349,5323905.0714105,-4.7692280502287e-07,6712369.9286374,5598483.9611056
213150,2400,7376825.2470862,-4.29877836291e-07,5323731.7832631,8.8012199427042e-08,6712532.2219113,5598281.7261079
215550,2400,7377029.2982046,-4.3671005059842e-06,5323567.0183699,1.6807695597378e-08,6712686.3302937,5598088.4110869
220350,4800,7377466.3713923,-2.7556204339327e-07,5323238.1894939,-1.2972924388507e-09,6712979.7969489,5597685.8295298
222750,2400,7377661.8912559,1.1295240433928e-08,5323088.254247,-1.8995119295049e-10,6713116.6699589,5597504.1413496
227550,4800,7378040.0239436,8.5194961801575e-09,5322803.5278923,2.2268929905168e-11,6713368.8117274,5597158.362297
229950,2400,7378206.4237959,4.6230760227261e-10,5322676.2167475,2.5753936271069e-12,6713485.1452801,5597003.3704131
234750,4800,7378524.6542608,-2.0924171738348e-10,5322434.6904549,-4.2449138471455e-13,6713705.7465762,5596705.902026
